instance_name,objective_value
cap61,932615.750
cap62,977799.400
cap63,1014062.050
cap64,1045650.250
cap71,932615.750
cap72,977799.400
cap73,1010641.450
cap74,1034976.975
cap91,796648.438
cap92,855733.500
cap93,896617.538
cap94,946051.325
cap101,796648.437
cap102,854704.200
cap103,893782.112
cap104,928941.750
cap121,793439.563
cap122,852524.625
cap123,895302.325
cap124,946051.325
cap131,793439.562
cap132,851495.325
cap133,893076.712
cap134,928941.750
capa1,19240822.449
capa2,18438046.543
capa3,17765201.949
capa4,17160439.012
capb1,13656379.578
capb2,13361927.449
capb3,13198556.434
capb4,13082516.496
capc1,11646596.974
capc2,11570340.289
capc3,11518743.744
capc4,11505767.394
