instance_name,objective_value
p1,137396.0
p2,136082.0
p3,138082.0
p4,140082.0
p5,137396.0
p6,136082.0
p7,138082.0
p8,140082.0
p9,137396.0
p10,136082.0
p11,138082.0
p12,140082.0
p13,190647.0
p14,187795.0
p15,191795.0
p16,195795.0
p17,190647.0
p18,187795.0
p19,191795.0
p20,195795.0
p21,190647.0
p22,187795.0
p23,191795.0
p24,195795.0
p25,171503.0
p26,170310.0
p27,172560.0
p28,174760.0
p29,171503.0
p30,170310.0
p31,172560.0
p32,174760.0
p33,171503.0
p34,170310.0
p35,172560.0
p36,174760.0
p37,171503.0
p38,170310.0
p39,172560.0
p40,174760.0
p41,46813.0
p42,36528.0
p43,33196.0
p44,55200.0
p45,42685.0
p46,34933.0
p47,35587.0
p48,28922.0
p49,25219.0
p50,93005.0
p51,80807.0
p52,121347.0
p53,110630.0
p54,124797.0
p55,106180.0
p56,284657.0
p57,293657.0
p58,314657.0
p59,299896.0
p60,284657.0
p61,293657.0
p62,314657.0
p63,299896.0
p64,284657.0
p65,293657.0
p66,314657.0
p68,284657.0
p69,293657.0
p70,314657.0
p71,299896.0
