iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979991e8,1.012861e6,74145.69738591969,1.90720949,0.349399093,2.2566099166870117
2,-3.2828632e7,1.012861e6,3341.178404539221,1.934101952,0.362107798,2.3885738849639893
3,832704.3167888544,881492.712689797,5.534747502570854,2.030496984,0.409360034,2.5341548919677734
4,863345.6020217084,878551.0647934788,1.7307431953707528,2.677233265,0.43891031799999997,3.2368340492248535
5,872527.2078204186,874492.8509727056,0.22477521115245205,3.20711844,0.47360401099999994,3.8203389644622803
6,873894.3473859982,874207.1890578244,0.0357857583124392,3.919636142,0.504262959,4.587027072906494
7,874081.7266797627,874125.0349581722,0.004954471806382216,4.54687801,0.5346056539999999,5.268014907836914
8,874105.9725675709,874110.9128202571,0.0005651745806867087,4.97916232,0.5692534869999999,5.758296012878418
9,874108.8060791781,874109.1129829733,3.5110467407829205e-5,5.254125162,0.6044906129999998,6.088953971862793
10,874108.9097260758,874108.938683008,3.3127372173725665e-6,5.544082064,0.6384870939999998,6.4328389167785645
11,874108.9109320394,874108.9109320394,0.0,5.616758054,0.6733545429999999,6.560234069824219
