instance_name,objective_value
cap61,4004139523
cap62,4004214523
cap63,4004289523
cap64,4004402023
cap71,4004139523
cap72,4004214523
cap73,4004289523
cap74,4004402023
cap91,2860332102
cap92,2860452102
cap93,2860572102
cap94,2860752102
cap101,2860332102
cap102,2860452102
cap103,2860572102
cap104,2860752102
cap121,2850307905
cap122,2850535880
cap123,2850760880
cap124,2851092306
cap131,2850307905
cap132,2850535880
cap133,2850760880
cap134,2851092306
capa1,314581502.4
capa2,314581502.4
capa3,314581502.4
capa4,314581502.4
capb1,252479378.6
capb2,252479378.6
capb3,252479378.6
capb4,252479378.6
capc1,227277815.9
capc2,227277815.9
capc3,227277815.9
capc4,227277815.9
