iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.999998e8,668015.0,74948.588729295,1.843793749,0.294437801,2.138232946395874
2,-2.0431755e7,574837.0,3654.356278388482,1.84844326,0.296576735,2.2102060317993164
3,503439.7235645988,518628.05529285944,2.928559605145937,1.875461818,0.315334697,2.257183074951172
4,506655.5076785424,511627.84623505204,0.9718662877909987,2.200650191,0.318430438,2.589132070541382
5,509499.2799860117,511056.07644438767,0.30462341221089023,2.831230749,0.32118332,3.2247369289398193
6,510341.9653382513,510643.38849013177,0.05902811211786982,3.223306672,0.32394016,3.621492862701416
7,510462.12689786183,510514.79250240186,0.010316176007727081,3.477235847,0.327077077,3.880689859390259
8,510484.42852446577,510492.0590643989,0.0014947421409739787,3.638753142,0.330138597,4.047746896743774
9,510487.45004885655,510488.9098924355,0.0002859696950577496,3.71593032,0.345081449,4.1423020362854
10,510487.7086306669,510487.9347183995,4.4288555559010505e-5,3.777252633,0.348137186,4.209229946136475
11,510487.7204719414,510487.73013674794,1.8932495272200119e-6,3.8387765999999997,0.351306048,4.276282072067261
12,510487.72090861876,510487.72090861894,3.4207087768847827e-14,3.8570542379999995,0.35439007499999997,4.300179958343506
