iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979998e8,1.018182e6,73758.7366502256,1.764336314,0.36556687,2.12990403175354
2,-3.3787299e7,1.018182e6,3418.3948449294917,1.789689846,0.37128249199999996,2.2563819885253906
3,831871.0082280339,881754.6489951868,5.657315311464287,1.844273793,0.40624389699999996,2.35910701751709
4,865880.6347820087,879728.6868629807,1.5741276018124053,2.300377139,0.43021937699999996,2.873260021209717
5,874032.8777892862,875796.9390628096,0.20142354863800913,2.7413681370000003,0.462746644,3.3629980087280273
6,875471.3987618777,875723.4226269448,0.02877893391399313,3.28846067,0.494558665,3.961332082748413
7,875603.3295823777,875633.2878932192,0.0034213307392123296,3.7114950810000003,0.526842263,4.4357590675354
8,875623.8093236426,875625.613378694,0.00020603041115383735,4.067952445,0.559333041,4.843987941741943
9,875624.6138970448,875624.9750915826,4.1249912703591996e-5,4.327557532,0.5879616830000001,5.15166711807251
10,875624.6740122213,875624.6910924758,1.950636463005122e-6,4.386121375,0.6165128000000001,5.262609958648682
11,875624.6741566844,875624.6741566836,-9.306581653530755e-14,4.438540489,0.6494715080000001,5.367303133010864
