iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.999998e8,664177.0,75381.1072951939,1.769387094,0.509586229,2.278975009918213
2,-1.9941503e7,574616.0,3570.4051053225107,1.7740131590000001,0.5124257689999999,2.3483898639678955
3,503440.9486009004,518980.6374804116,2.9942714153950942,1.800333771,0.5201412499999999,2.3836350440979004
4,506247.3903293539,511254.889687228,0.979452609428841,2.140307956,0.5360449209999999,2.743906021118164
5,509089.05344776204,510676.54326912126,0.31086014078438556,2.929498088,0.5392241059999999,3.5388970375061035
6,509974.73957260884,510300.9574344228,0.06392656275897346,3.305145461,0.542287758,3.9199440479278564
7,510113.49139402184,510163.71927590336,0.009845443723990278,3.564035166,0.5461234199999999,4.185154914855957
8,510136.3655034621,510143.5203533507,0.0014025170570874732,3.73035992,0.5499156499999999,4.358180999755859
9,510138.68066134525,510139.3239232281,0.00012609533369800765,3.800613615,0.5657009459999999,4.447190999984741
10,510139.035969692,510139.03596969205,1.141015621414347e-14,3.863128072,0.5697283979999999,4.516416072845459
