iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.999998e8,669973.0,74729.84329219237,1.806547127,0.295542965,2.102091073989868
2,-2.014734e7,575968.0,3597.996416467581,1.810837268,0.296961187,2.1868350505828857
3,503266.42651763104,519427.7752654122,3.111375540039837,1.837598395,0.304938979,2.2228329181671143
4,506341.5945823729,512001.01861583535,1.105354057451358,2.116789924,0.309839262,2.511638879776001
5,509305.32188886934,511141.8951093468,0.3593079021794032,2.765829614,0.324439715,3.178346872329712
6,510371.131798009,510806.6153368933,0.08525409143284196,3.177562821,0.3278491,3.5959689617156982
7,510553.53541330795,510632.95770814136,0.015553695395979736,3.4986799299999998,0.331596128,3.923506021499634
8,510585.0642094239,510599.8352151496,0.00289287318698348,3.6982068729999997,0.335039182,4.129459857940674
9,510588.6585913176,510589.70491257426,0.00020492408025490119,3.7924491409999996,0.338464054,4.229933023452759
10,510588.95798811,510589.16275247297,4.010354662536152e-5,3.8547139459999995,0.342238195,4.298740863800049
11,510588.96603526076,510588.96603526076,0.0,3.9479103649999994,0.346769551,4.399348020553589
