iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49998e8,994852.0,75487.89689320623,1.977783034,0.329683078,2.3074681758880615
2,-4.2978986e7,994852.0,4420.138673893202,2.000597626,0.33511996,2.435002088546753
3,767924.557427288,799620.2608445521,3.9638444608428642,2.058314855,0.367843488,2.527297019958496
4,779527.7652890069,791122.2631979905,1.4655759859562834,3.144105747,0.378592622,3.636383056640625
5,788474.2285559857,790487.7703218675,0.2547214316879252,4.273481459999999,0.394055206,4.792271137237549
6,789356.662066193,789732.5599034684,0.04759811819350004,4.920743774999999,0.41246748699999997,5.466770172119141
7,789572.8738655583,789644.2014628556,0.009032877993040972,5.654579192999999,0.42764358999999996,6.224354982376099
8,789615.2180612055,789621.5314563952,0.0007995469903231842,6.126446574999999,0.445239994,6.722491025924683
9,789618.2547836863,789618.9727450351,9.092503772169271e-5,6.330780728999999,0.45979110599999995,6.949815034866333
10,789618.4619910035,789618.4660213161,5.104126635519877e-7,6.498481974999999,0.4748734459999999,7.144996166229248
11,789618.4641471853,789618.4660213161,2.3734637447639568e-7,6.544702009999999,0.4934669199999999,7.218532085418701
12,789618.464254854,789618.4642548541,1.4743237031164594e-14,6.590874583999999,0.5082290439999999,7.288060188293457
