iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.99997998e8,671124.0,74601.58212193276,1.710928489,0.274826144,1.9857559204101562
2,-2.053249e7,671124.0,3159.418229716118,1.718577305,0.309390465,2.0882599353790283
3,516420.0263765083,541269.9519570376,4.591041030576493,1.736910301,0.319339309,2.1177239418029785
4,525821.0817399418,534299.6327507377,1.586853235729491,1.982083746,0.326141024,2.376349925994873
5,532152.7934176676,534082.3454218447,0.361283614917671,2.547385751,0.5437039850000001,3.1636710166931152
6,532887.8059626424,533188.9638514996,0.056482393536760954,2.7998585580000004,0.5502410640000001,3.4272758960723877
7,533063.7199155223,533106.3971161721,0.008005381454945278,2.988361525,0.557505702,3.6276819705963135
8,533085.346844464,533089.8781945186,0.0008500161492483457,3.1180022640000002,0.5649017510000001,3.7698540687561035
9,533087.4431320425,533087.8779098265,8.155837000705221e-5,3.1992791190000003,0.57137568,4.050830841064453
10,533087.5736446131,533087.573644613,-2.1837935750598454e-14,3.278322981,0.5776365040000001,4.1407270431518555
