iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979998e8,1.018182e6,73758.7366502256,1.930085349,0.319547228,2.249634027481079
2,-3.3787299e7,1.018182e6,3418.3948449294917,1.953400631,0.322269931,2.374953031539917
3,831871.0082280339,881754.648995187,5.657315311464313,2.023445222,0.370781996,2.4953739643096924
4,865880.6347820086,879728.6868629807,1.5741276018124184,2.4977471589999998,0.398584218,3.021420955657959
5,874032.8777892862,875796.9390628099,0.20142354863804893,2.9764875249999996,0.432878716,3.552177906036377
6,875471.3987618778,875723.4226269424,0.028778933913700747,3.6144207489999998,0.463234472,4.244107961654663
7,875603.3295823813,875633.2878932178,0.003421330738640651,4.086302011,0.494063348,4.770219802856445
8,875623.8093236429,875625.6133786944,0.00020603041116713233,4.4244909539999995,0.528412055,5.16601300239563
9,875624.6138970446,875624.9750915825,4.124991271688711e-5,4.67724946,0.563592684,5.4739909172058105
10,875624.6740122214,875624.691092476,1.950636476300238e-6,4.7599355679999995,0.598888444,5.612107992172241
11,875624.6741566827,875624.6741566836,1.0636093318320863e-13,4.8405867339999995,0.63441154,5.748284816741943
