iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.9999799e8,671783.0,74528.49699977522,2.209058318,0.393029975,2.602091073989868
2,-1.9467992e7,671783.0,2997.958418120137,2.2188694719999997,0.396434637,2.700134038925171
3,515441.57911207294,540483.2049135143,4.633192220181647,2.249575556,0.424489886,2.7607650756835938
4,525910.505499567,534578.9614381549,1.6215482770342329,2.614106375,0.432521883,3.1424238681793213
5,532584.9107483883,533934.89927477,0.2528376639578045,3.218178504,0.442265689,3.762415885925293
6,533153.8175455754,533483.1280661583,0.061728385258698185,3.518575614,0.46264748,4.0901939868927
7,533311.2391990725,533359.4598930768,0.009040937234710725,3.765685504,0.471257534,4.35221791267395
8,533334.1843089439,533346.4155515316,0.002293301732425668,3.9320999199999997,0.479692391,4.533705949783325
9,533338.1224955772,533339.6503080783,0.00028646145100665943,4.03476095,0.494025035,4.657367944717407
10,533338.5705240284,533338.6580463863,1.64102782752856e-5,4.14070683,0.502979436,4.779023885726929
11,533338.574748347,533338.5753738942,1.1728893557046974e-7,4.171074854,0.5115026069999999,4.824765920639038
12,533338.5748547546,533338.5748547547,2.1827658323540252e-14,4.2027393680000005,0.520042704,4.871752977371216
