iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.499998e8,991989.0,75705.65691756662,1.62116792,0.324099556,1.9452688694000244
2,-4.2909773e7,862944.0,5072.486395409203,1.6289564,0.340623736,2.053658962249756
3,753886.5307470548,774625.5395711975,2.6772947398071767,1.685543205,0.352671091,2.1241958141326904
4,757175.7391407965,764107.3174114183,0.9071472177630857,2.564362173,0.359884297,3.0180349349975586
5,760748.5841557719,763016.0377502051,0.29716984732312735,3.493317872,0.383570016,3.9751439094543457
6,762246.2532316842,762681.6951594586,0.057093533323007456,4.418640119,0.390293714,4.912388801574707
7,762424.2374195763,762506.6306059087,0.010805569817399911,5.171765426,0.397153851,5.676533937454224
8,762460.9786069788,762469.586725741,0.0011289786389025495,5.721190788,0.404441324,6.238573789596558
9,762464.2663595262,762465.3064456823,0.00013641094844761299,5.914093844,0.420014926,6.451567888259888
10,762464.4538551343,762464.5027941458,6.418529826112514e-6,6.031802853,0.42742456700000003,6.5818469524383545
11,762464.4543606946,762464.4543606944,-3.0536589912128005e-14,6.149253737,0.43445734700000005,6.711784839630127
