iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.999998e8,672459.0,74453.94574241701,1.73186759,0.343788679,2.075658082962036
2,-2.1803368e7,575773.0,3886.799311534233,1.736830159,0.346306277,2.148775100708008
3,503502.9315980106,519908.04106444906,3.155386755098265,1.7634468989999998,0.354608052,2.185015916824341
4,506257.22204190784,511798.8859557657,1.0827815507079575,2.115135364,0.3591828,2.5460870265960693
5,509194.08133221115,510998.85788009514,0.35318602381445513,2.845553613,0.376452283,3.2967119216918945
6,510288.99948115635,510665.4844165989,0.07372437474850617,3.349298689,0.380337969,3.8069729804992676
7,510441.1404188619,510506.39501851087,0.01278232756450139,3.642859353,0.384373768,4.107451915740967
8,510469.71125899744,510477.92157124635,0.0016083579528052565,3.852407301,0.38831601,4.324038982391357
9,510472.00731306116,510473.13885289634,0.0002216649122282648,3.934207986,0.392215378,4.412868022918701
10,510472.2416758288,510472.25176221156,1.9758924612310436e-6,4.000451048,0.396219157,4.4861719608306885
11,510472.2437150155,510472.2437150155,0.0,4.020840108000001,0.400088823,4.5134711265563965
