iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49998e8,990837.0,75793.37842652222,2.134249161,0.325726434,2.4599759578704834
2,-4.2573247e7,990837.0,4396.695319209921,2.149410921,0.330394128,2.5738658905029297
3,768586.3391257479,799200.1196162191,3.8305525411047356,2.204243043,0.35865439,2.658754825592041
4,780175.5628426592,791311.7012239738,1.4073011133399878,2.969591945,0.372901308,3.4502968788146973
5,788352.430345788,790426.7243620317,0.2624271108644332,4.017755514,0.38644013699999996,4.519305944442749
6,789265.640289623,789623.7554536574,0.04535263301805755,4.691295173,0.40303868699999995,5.217644929885864
7,789478.1310379462,789537.9867110959,0.007581101119533071,5.366702474,0.4163655319999999,5.914918899536133
8,789508.9242960537,789517.5721862908,0.001095338538583293,5.791453829,0.4290335449999999,6.364675045013428
9,789512.2963650035,789513.2658078396,0.00012278993629491908,6.00429177,0.4445025249999999,6.601191997528076
10,789512.4225233111,789512.5109242066,1.1196896091107684e-5,6.157612493,0.4569172509999999,6.775110960006714
11,789512.4315740052,789512.4351959279,4.587543562364781e-7,6.203890193,0.4749855859999999,6.84814190864563
12,789512.43182572,789512.4351959279,4.2687204160184693e-7,6.243613688,0.4874498929999999,6.90890097618103
13,789512.4318806865,789512.4318806864,-1.474521706385592e-14,6.286556582,0.5003832149999999,6.977027893066406
