iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49998e8,994852.0,75487.89689320623,1.843848478,0.295781879,2.139631986618042
2,-4.2978986e7,994852.0,4420.138673893202,1.8652376579999999,0.298550338,2.2625999450683594
3,767924.557427288,799620.2608445521,3.9638444608428642,1.919393505,0.32612419600000003,2.3461430072784424
4,779527.7652890069,791122.2631979905,1.4655759859562834,2.9358129259999997,0.33657760200000003,3.385118007659912
5,788474.2285559857,790487.7703218675,0.2547214316879252,4.007284256999999,0.35116813300000005,4.481245994567871
6,789356.662066193,789732.5599034684,0.04759811819350004,4.624412948,0.36872079900000004,5.1241679191589355
7,789572.8738655583,789644.2014628556,0.009032877993040972,5.330667493,0.38229187100000006,5.852320909500122
8,789615.2180612055,789621.5314563952,0.0007995469903231842,5.783916342,0.39979082900000007,6.331211090087891
9,789618.2547836863,789618.9727450351,9.092503772169271e-5,5.980389454,0.41361915200000005,6.5497190952301025
10,789618.4619910035,789618.4660213161,5.104126635519877e-7,6.140332602,0.42754546700000007,6.735799074172974
11,789618.4641471853,789618.4660213161,2.3734637447639568e-7,6.185026036,0.4448704280000001,6.806233882904053
12,789618.464254854,789618.4642548541,1.4743237031164594e-14,6.230194841,0.4593062650000001,6.874213933944702
