iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.999998e8,668015.0,74948.588729295,2.206035143,0.331802017,2.5378379821777344
2,-2.0431755e7,574837.0,3654.356278388482,2.2116286379999996,0.333646393,2.6350278854370117
3,503439.7235645988,518628.05529285944,2.928559605145937,2.2412387529999998,0.34060392,2.6730518341064453
4,506655.5076785424,511627.84623505204,0.9718662877909987,2.6241285719999996,0.344666344,3.064685821533203
5,509499.2799860117,511056.07644438767,0.30462341221089023,3.3634286909999997,0.349505772,3.8120269775390625
6,510341.9653382513,510643.38849013177,0.05902811211786982,3.828512299,0.354786289,4.285542964935303
7,510462.12689786183,510514.79250240186,0.010316176007727081,4.159295586,0.359107062,4.636957883834839
8,510484.42852446577,510492.0590643989,0.0014947421409739787,4.3471273329999995,0.363302022,4.832274913787842
9,510487.45004885655,510488.9098924355,0.0002859696950577496,4.443815358999999,0.367570377,4.936542987823486
10,510487.7086306669,510487.9347183995,4.4288555559010505e-5,4.515318108,0.371757856,5.0155417919158936
11,510487.7204719414,510487.73013674794,1.8932495272200119e-6,4.586518754,0.37594124,5.094273805618286
12,510487.72090861876,510487.72090861894,3.4207087768847827e-14,4.607519804,0.385873916,5.128489017486572
