iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.99997997e8,670237.0,74700.17829514039,1.655704823,0.272614299,1.9283199310302734
2,-2.0226236e7,670237.0,3117.7737128806675,1.662708164,0.290104498,2.0138418674468994
3,516100.1843992328,540109.9439822925,4.445346702197898,1.6879207040000002,0.300154965,2.050428867340088
4,525776.3788052575,534130.1751749718,1.5640000805005545,1.9931635130000003,0.305455497,2.3674609661102295
5,532064.007365765,533388.7555777688,0.24836448053142005,2.554487055,0.311542274,2.938722848892212
6,532672.8420790441,532947.9323280916,0.051616721326943456,2.729886477,0.330060754,3.1370739936828613
7,532815.4405824598,532865.7226930924,0.00943616909312637,2.935480507,0.337019471,3.354429006576538
8,532838.2935091663,532845.1987190084,0.0012959129328033946,3.075224992,0.343512187,3.5052950382232666
9,532841.6756913073,532842.072602621,7.448948462695923e-5,3.1555555749999997,0.34998054,3.59677791595459
10,532841.9353879682,532841.9357406406,6.618706111371064e-8,3.233718218,0.362241724,3.6918108463287354
11,532841.9354453443,532841.9354453442,-2.184800295975879e-14,3.250521617,0.36891410199999997,3.7199599742889404
