iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979988e8,1.028964e6,72986.90255441394,3.451822332,0.563991967,4.015818119049072
2,-3.6248819e7,1.028964e6,3622.8461831512086,3.4872820019999997,0.568776117,4.220312118530273
3,831122.7342805184,880594.082056576,5.617951424397518,3.597836786,0.63750944,4.402188062667847
4,866014.6304027226,880594.082056576,1.6556381596165115,4.356930482,0.674019849,5.236865043640137
5,873790.5944055931,875768.6513144051,0.2258652334544335,4.884216993,0.722502164,5.840217113494873
6,875396.9412181508,875698.7266964184,0.03446224929503716,5.8609878129999995,0.775517626,6.906044960021973
7,875541.056202593,875579.3068906346,0.004368614897649483,6.6600072589999995,0.825778701,7.785933017730713
8,875563.5121638259,875568.4297933246,0.000561649932924139,7.183701193999999,0.87934991,8.39255404472351
9,875565.7598216101,875566.0162413598,2.9286169739482595e-5,7.5580308469999995,0.9284994719999999,8.846858978271484
10,875565.9282269621,875565.9306548547,2.7729409722590893e-7,7.658775175,0.977880239,9.02713394165039
11,875565.92868039,875565.928680396,6.913924510658213e-13,7.742740373999999,1.02355149,9.190197944641113
