iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49998e8,994852.0,75487.89689320623,1.891297722,0.31667208,2.2079710960388184
2,-4.2978986e7,994852.0,4420.138673893202,1.912799768,0.321007123,2.3310279846191406
3,767924.557427288,799620.2608445521,3.9638444608428642,1.96827972,0.352793216,2.420130968093872
4,779527.7652890069,791122.2631979905,1.4655759859562834,2.995652571,0.364707692,3.473114013671875
5,788474.2285559857,790487.7703218675,0.2547214316879252,4.034842665999999,0.378573633,4.537759065628052
6,789356.662066193,789732.5599034684,0.04759811819350004,4.621570907,0.39438236600000004,5.148293972015381
7,789572.8738655583,789644.2014628556,0.009032877993040972,5.306344805,0.40786799800000006,5.854856014251709
8,789615.2180612055,789621.5314563952,0.0007995469903231842,5.74148804,0.4237259440000001,6.314012050628662
9,789618.2547836863,789618.9727450351,9.092503772169271e-5,5.928726835,0.4357940390000001,6.521383047103882
10,789618.4619910035,789618.4660213161,5.104126635519877e-7,6.084807298,0.4487330480000001,6.702388048171997
11,789618.4641471853,789618.4660213161,2.3734637447639568e-7,6.1260578,0.46456768700000006,6.7676920890808105
12,789618.464254854,789618.4642548541,1.4743237031164594e-14,6.1668200529999995,0.47692556900000005,6.828901052474976
