iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49998e8,1.00608e6,74646.55693384224,2.265115761,0.362669948,2.6277880668640137
2,-4.5499597e7,1.00608e6,4622.4631242048345,2.283260018,0.365866248,2.760909080505371
3,767405.9285684753,800619.1288778598,4.148439515295594,2.343783638,0.401705888,2.859372138977051
4,779902.6891629724,791949.2986107921,1.521133924728701,3.190475341,0.41463934,3.73366117477417
5,789035.7939756474,791003.7094085142,0.24878713076305542,4.528679,0.43249697600000003,5.098360061645508
6,789868.3592021365,790229.2199188466,0.04566532186030262,5.305562501000001,0.446267909,5.897876024246216
7,790085.5915986277,790158.0799585956,0.009173906058345583,6.172369312000001,0.460742178,6.791920185089111
8,790117.8254964056,790125.6502206122,0.0009903139082245655,6.739700577000001,0.477583653,7.38524317741394
9,790121.4793960063,790122.5464615067,0.00013505063299360423,7.023541682,0.491019876,7.6914050579071045
10,790121.8575039208,790121.930831718,9.28056726067679e-6,7.18630229,0.508553991,7.881036043167114
11,790121.8725266207,790121.8987082815,3.313622967769151e-6,7.362441663,0.52162194,8.079194068908691
12,790121.8739998707,790121.8739998707,0.0,7.415004472000001,0.539238708,8.15920901298523
