iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.499998e8,998397.0,75220.39799799077,2.039966929,6.292220358,8.332188844680786
2,-4.5854821e7,863058.0,5413.0636643192,2.0495382930000003,11.761558784,14.052657842636108
3,753700.7323095916,774512.7822969198,2.687115108108011,2.1292125000000004,40.732733696,43.104470014572144
4,761808.7024010281,763061.4474289719,0.16417354489139702,3.394790748,76.08697129,79.75686192512512
5,762521.7677782166,762611.3022703025,0.011740514705115888,4.836734249,97.771491008,102.89375185966492
6,762562.3731667979,762574.6261971631,0.001606797544041091,5.881480496,111.685523503,117.85579490661621
7,762565.3311733531,762571.8321817126,0.000852510948494278,6.170996942,127.715157715,134.17628693580627
8,762567.7204308966,762569.877188852,0.00028282758340653194,6.453868815000001,138.159968868,144.905366897583
9,762568.290140121,762569.4215807854,0.00014837215240853522,6.605661572000001,153.524872751,160.42272400856018
10,762568.5267732462,762569.2296364933,9.21704180684581e-5,6.742688631000001,163.033687897,170.06952500343323
11,762569.407453438,762569.2296364933,-2.3318137930068313e-5,6.921934017000001,173.236934586,180.4526069164276
