iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49998e8,990837.0,75793.37842652222,1.661199087,13.990864722,15.652064800262451
2,-1.0293303e7,990837.0,1138.8492759152111,1.684879086,24.246592106,26.143719911575317
3,776640.8626050028,798158.086964754,2.6958599694926595,1.904305333,56.515478015,58.63287281990051
4,788026.6877410888,789915.6845105316,0.23913903806243764,3.024146204,97.544546864,100.81783699989319
5,789313.6870314508,789615.4592469634,0.03821761744639268,4.15091037,123.83332797899999,128.2616798877716
6,789436.4347483217,789540.7527855905,0.01321249560592991,5.200400943,141.09454252999998,146.58623600006104
7,789465.2585093809,789538.2623993565,0.009246403050024391,5.813900305,156.301508913,162.41060590744019
8,789480.9121391336,789537.0884127432,0.007115089896861302,6.306903511,170.06266402999998,176.6683259010315
9,789488.812131061,789532.771658748,0.005567790124113225,6.751405685,183.06639515499998,190.12618494033813
10,789504.1303431854,789532.5971385934,0.003605525029773218,7.21398057,197.51137232699998,205.03639602661133
11,789506.3842491751,789530.2393406072,0.003021428470178996,7.444234686000001,209.70972858099998,217.4673969745636
12,789510.8703177966,789529.5336893445,0.002363859836975224,7.761501542,225.81410208799997,233.8915979862213
13,789520.3961082918,789529.4995854071,0.0011530255829652423,8.092047405,239.02764986999998,247.4384479522705
14,789522.1361441904,789529.4995854071,0.0009326366171890491,8.336115278000001,252.10069417199998,260.7578229904175
15,789525.99177129,789529.4085397089,0.00043276012039802296,8.670684565000002,263.06857389199996,272.062824010849
16,789527.341366701,789529.4085397089,0.0002618234337610654,8.872505061000002,282.74875838299994,291.9464819431305
17,789538.6392269187,789529.4085397089,-0.0011691378572999663,9.559162314000002,296.85538277999996,306.7428379058838
