iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979988e8,1.028964e6,72986.90255441394,1.9270887,6.311012594,8.238101959228516
2,-3.6248819e7,1.028964e6,3622.8461831512086,1.953697744,10.570704880000001,12.75487494468689
3,831155.5158885785,880591.3871892353,5.613939906731481,2.038477281,43.137023856,45.40670394897461
4,872700.6767208269,877284.3189685635,0.5224808136460969,3.058724228,111.592209634,114.94192409515381
5,874972.5155502848,875678.19683291,0.08058682803539494,4.144028282,171.618926284,176.1400339603424
6,875277.7643838522,875620.3847056483,0.03912886540566542,5.2368873989999996,220.08595272399998,225.77223110198975
7,875479.9413134938,875608.4306090123,0.014674287161570978,7.219260351999999,258.436675767,266.1495509147644
8,875543.8581635897,875607.8789300573,0.007311579533270556,7.973887416999999,300.000686748,308.4890670776367
9,875552.6706843633,875607.8789300573,0.006305133498958475,8.485594329,340.120387224,349.1333110332489
10,875571.4952624211,875607.3799268384,0.0040982597040649955,9.215484361,372.30240109,382.0576410293579
11,875579.3088784716,875607.3799268384,0.0032058944465706406,9.909977869999999,411.11391414,421.5741300582886
12,875598.4559783426,875607.3799268384,0.0010191723711405075,10.810638634999998,468.172483774,479.5422930717468
13,875676.5070862592,875607.3799268384,-0.007894766650610693,13.517790275999998,529.670017259,543.7757029533386
