iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.499998e8,995628.0,75429.31978610485,1.952695133,0.3397073,2.2924039363861084
2,-4.4870195e7,862493.0,5302.383671519653,1.962584683,0.342204456,2.405505895614624
3,753574.5030830674,775393.7406174289,2.813955851254018,2.026174816,0.355518632,2.4839868545532227
4,757036.125224394,764148.8406998813,0.93080236423218,2.86269003,0.371058779,3.34437894821167
5,760892.5563418978,763133.5779520656,0.29366046455219313,3.869375179,0.376711404,4.360576868057251
6,762275.4938656803,762797.6245177381,0.06844943341137531,4.890439969,0.383347103,5.392405986785889
7,762473.5413510149,762562.8582279221,0.011712723212721037,5.652523119,0.39518877700000005,6.170599937438965
8,762514.2483251214,762527.9562445997,0.0017976940210573569,6.218732889,0.40111604900000003,6.7468438148498535
9,762519.7325485152,762520.5389157945,0.00010575023728669174,6.506139318,0.40722793300000004,7.044400930404663
10,762520.1432925339,762520.2085483245,8.5579096616803e-6,6.629579013,0.41299436700000003,7.177686929702759
11,762520.152214453,762520.1535675386,1.7744916207029865e-7,6.755351638,0.42401209500000003,7.318670988082886
12,762520.1522565077,762520.1522565077,0.0,6.787123622999999,0.429941781,7.360713958740234
