iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.499998e8,991989.0,75705.65691756662,1.919148218,0.322387876,2.241537094116211
2,-4.2909773e7,862944.0,5072.486395409203,1.926613766,0.328067569,2.3517870903015137
3,753886.5307470548,774625.5395711975,2.6772947398071767,1.987102184,0.353665887,2.439807176589966
4,757175.7391407965,764107.3174114183,0.9071472177630857,2.918056954,0.36026365,3.3852500915527344
5,760748.5841557719,763016.0377502051,0.29716984732312735,3.937298556,0.366816941,4.415528059005737
6,762246.2532316842,762681.6951594586,0.057093533323007456,4.955626441,0.373738669,5.449474096298218
7,762424.2374195763,762506.6306059087,0.010805569817399911,5.814535992,0.380610834,6.320049047470093
8,762460.9786069788,762469.586725741,0.0011289786389025495,6.388996947,0.391089215,6.909610986709595
9,762464.2663595262,762465.3064456823,0.00013641094844761299,6.5807593319999995,0.397052148,7.111954212188721
10,762464.4538551343,762464.5027941458,6.418529826112514e-6,6.700821057,0.402954903,7.242020130157471
11,762464.4543606946,762464.4543606944,-3.0536589912128005e-14,6.731244919,0.412729231,7.286229133605957
