Optimize a model with 1003000 rows, 1001000 columns and 4002000 nonzeros
Model fingerprint: 0x14e60d68
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [8e-02, 2e+04]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-01, 1e-01]
Presolve removed 1001886 rows and 887000 columns
Presolve time: 0.39s
Presolved: 1114 rows, 114000 columns, 228000 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.7082388e+04   7.059019e+01   0.000000e+00      0s
Iteration    Objective       Primal Inf.    Dual Inf.      Time
   10598    2.7508354e+04   2.406113e+02   0.000000e+00      5s
   13148    2.8326185e+04   2.758903e+02   0.000000e+00     10s
   15088    2.8823942e+04   1.664215e+02   0.000000e+00     16s
   16818    2.9243509e+04   1.472898e+02   0.000000e+00     22s
   17878    2.9531077e+04   2.619435e+02   0.000000e+00     26s
   19238    2.9905825e+04   1.298579e+02   0.000000e+00     32s
   20128    3.0136036e+04   1.224364e+02   0.000000e+00     36s
   21438    3.0491617e+04   2.352993e+02   0.000000e+00     42s
   22268    3.0723756e+04   8.132808e+01   0.000000e+00     46s
   23478    3.0989902e+04   1.409142e+02   0.000000e+00     52s
   24248    3.1172872e+04   1.848930e+02   0.000000e+00     56s
   25318    3.1376770e+04   1.210033e+02   0.000000e+00     61s
   25988    3.1475823e+04   1.775842e+02   0.000000e+00     65s
   27018    3.1633211e+04   2.285993e+02   0.000000e+00     71s
   27958    3.1750335e+04   1.821508e+02   0.000000e+00     76s
   28588    3.1812207e+04   1.395202e+02   0.000000e+00     80s
   29458    3.1920136e+04   6.174316e+01   0.000000e+00     86s
   30158    3.1996789e+04   8.703671e+01   0.000000e+00     91s
   30908    3.2091843e+04   5.054025e+01   0.000000e+00     97s
   31438    3.2157261e+04   9.031544e+01   0.000000e+00    101s
   32228    3.2234388e+04   1.153582e+02   0.000000e+00    106s
   32748    3.2297107e+04   5.973959e+01   0.000000e+00    110s
   33498    3.2360784e+04   1.024467e+02   0.000000e+00    116s
   34188    3.2430407e+04   2.976301e+02   0.000000e+00    122s
   34628    3.2487136e+04   1.695509e+02   0.000000e+00    125s
   35258    3.2555188e+04   6.201241e+01   0.000000e+00    131s
   35898    3.2622906e+04   6.867769e+01   0.000000e+00    136s
   36328    3.2664999e+04   1.444149e+02   0.000000e+00    140s
   36948    3.2747934e+04   1.585912e+02   0.000000e+00    146s
   37588    3.2830508e+04   1.745737e+02   0.000000e+00    151s
   38238    3.2898065e+04   5.375609e+01   0.000000e+00    156s
   38798    3.2963867e+04   7.628724e+01   0.000000e+00    162s
   39148    3.3016121e+04   1.701951e+02   0.000000e+00    165s
   39618    3.3074479e+04   4.097950e+02   0.000000e+00    170s
   40108    3.3131823e+04   3.558254e+02   0.000000e+00    175s
   40598    3.3176858e+04   1.282708e+02   0.000000e+00    180s
   41098    3.3220248e+04   5.251840e+02   0.000000e+00    185s
   41558    3.3270006e+04   1.318519e+02   0.000000e+00    190s
   42078    3.3323526e+04   2.836102e+02   0.000000e+00    196s
   42608    3.3373667e+04   1.741802e+02   0.000000e+00    200s
   43168    3.3430025e+04   1.558821e+02   0.000000e+00    205s
   43738    3.3477159e+04   7.107081e+01   0.000000e+00    210s
   44268    3.3515273e+04   1.641970e+02   0.000000e+00    215s
   44878    3.3576158e+04   1.248877e+02   0.000000e+00    220s
   45358    3.3606860e+04   3.150288e+02   0.000000e+00    225s
   45928    3.3634120e+04   1.003564e+02   0.000000e+00    230s
   46608    3.3666114e+04   1.416001e+02   0.000000e+00    237s
   47138    3.3684651e+04   2.684188e+02   0.000000e+00    242s
   47638    3.3700408e+04   1.574270e+02   0.000000e+00    247s
   47938    3.3709760e+04   1.809737e+02   0.000000e+00    250s
   48358    3.3724222e+04   2.478001e+02   0.000000e+00    255s
   49028    3.3745802e+04   7.743244e+01   0.000000e+00    262s
   49348    3.3756272e+04   3.289894e+02   0.000000e+00    265s
   50008    3.3776742e+04   2.077862e+02   0.000000e+00    271s
   50458    3.3792681e+04   2.613398e+02   0.000000e+00    276s
   50908    3.3805352e+04   1.135753e+02   0.000000e+00    281s
   51338    3.3818154e+04   1.913078e+02   0.000000e+00    286s
   51768    3.3834068e+04   1.565910e+02   0.000000e+00    291s
   52188    3.3847224e+04   6.585858e+01   0.000000e+00    296s
   52658    3.3860836e+04   1.462700e+02   0.000000e+00    301s
   53078    3.3872601e+04   1.117834e+02   0.000000e+00    306s
   53448    3.3883678e+04   1.866492e+02   0.000000e+00    311s
   53838    3.3895061e+04   2.212729e+02   0.000000e+00    316s
   54248    3.3908329e+04   2.180119e+02   0.000000e+00    320s
   54578    3.3920266e+04   1.436180e+02   0.000000e+00    325s
   54958    3.3931922e+04   1.246587e+02   0.000000e+00    330s
   55398    3.3943689e+04   1.626225e+02   0.000000e+00    335s
   55778    3.3954842e+04   7.212587e+01   0.000000e+00    341s
   56098    3.3964293e+04   1.185126e+02   0.000000e+00    346s
   56458    3.3975014e+04   1.341866e+02   0.000000e+00    351s
   56828    3.3986042e+04   1.263355e+02   0.000000e+00    356s
   57178    3.3996449e+04   1.196672e+02   0.000000e+00    362s
   57438    3.4002367e+04   1.955558e+02   0.000000e+00    365s
   57808    3.4012086e+04   2.031489e+02   0.000000e+00    370s
   58168    3.4022433e+04   1.584442e+02   0.000000e+00    376s
   58518    3.4032726e+04   2.382009e+02   0.000000e+00    381s
   58938    3.4045391e+04   1.102676e+02   0.000000e+00    386s
   59338    3.4056147e+04   7.094405e+01   0.000000e+00    391s
   59598    3.4064239e+04   1.237271e+02   0.000000e+00    395s
   59998    3.4073653e+04   8.751091e+01   0.000000e+00    400s
   60328    3.4083907e+04   8.649565e+01   0.000000e+00    405s
   60638    3.4095167e+04   7.994882e+01   0.000000e+00    411s
   60978    3.4104857e+04   7.691883e+01   0.000000e+00    416s
   61348    3.4121405e+04   8.219106e+01   0.000000e+00    421s
   61608    3.4130575e+04   1.392112e+02   0.000000e+00    425s
   61948    3.4146448e+04   1.072242e+02   0.000000e+00    430s
   62348    3.4159653e+04   2.461771e+02   0.000000e+00    436s
   62708    3.4192912e+04   1.308161e+02   0.000000e+00    441s
   63029    3.4266612e+04   9.202317e+01   0.000000e+00    447s
   63237    3.4304766e+04   7.564961e+01   0.000000e+00    452s
   63338    3.4312858e+04   5.067982e+01   0.000000e+00    455s
   63545    3.4345993e+04   1.690131e+02   0.000000e+00    461s
   63749    3.4370810e+04   1.032662e+02   0.000000e+00    467s
   63850    3.4379409e+04   9.588079e+01   0.000000e+00    471s
   64050    3.4402496e+04   9.625358e+01   0.000000e+00    479s
   64153    3.4416117e+04   7.930822e+01   0.000000e+00    483s
   64253    3.4427176e+04   7.163733e+01   0.000000e+00    488s
   64353    3.4459999e+04   8.885947e+01   0.000000e+00    493s
   64453    3.4472568e+04   2.726757e+01   0.000000e+00    498s

Solved in 64492 iterations and 500.96 seconds (513.46 work units)
Infeasible model
